2023-03-09 17:12:00, PP12378945, NEW_PRODUCT
2023-03-10 08:17:13, PP74185296, UPDATE
2023-03-10 08:17:29, DP12345678, UPDATE
2023-03-10 08:47:19, PP12378945, DELETE
2023-03-10 08:47:58, PP12345678, UPDATE
2023-03-10 08:59:30, PP12345678, UPDATE
2023-03-10 09:08:02, PP12345678, UPDATE
2023-03-10 09:10:43, PP12345678, UPDATE
2023-03-10 09:12:42, PP12345678, UPDATE
2023-03-10 09:16:41, PP12345678, UPDATE
2023-03-10 09:17:01, PP12345678, UPDATE
2023-03-10 09:17:08, DP12345678, UPDATE
2023-03-10 09:17:17, PP12345678, UPDATE
2023-03-10 09:17:26, DP12345678, UPDATE
2023-03-10 09:17:38, PP12345678, UPDATE
2023-03-10 09:17:43, DP12345678, UPDATE
2023-03-10 09:19:30, PP12345678, UPDATE
2023-03-10 09:25:09, PP12345678, UPDATE
2023-03-10 09:28:20, PP12345678, UPDATE
2023-03-10 09:37:13, PP12345678, UPDATE
2023-03-10 09:38:01, DP12378945, NEW_PRODUCT
2023-03-10 09:49:27, PP12345678, UPDATE
2023-03-10 09:50:08, PP12345678, UPDATE
2023-03-10 09:51:03, PP12345678, UPDATE
2023-03-10 09:53:33, PP12345678, UPDATE
2023-03-10 09:55:13, PP12345678, UPDATE
2023-03-10 09:55:54, PP12345678, UPDATE
2023-03-10 09:56:02, DP98765432, UPDATE
2023-03-10 10:03:14, PP12345678, UPDATE
2023-03-10 10:07:25, PP12345678, UPDATE
2023-03-10 10:07:50, PP12345678, UPDATE
2023-03-10 10:08:33, PP12345678, UPDATE
2023-03-10 10:09:10, PP12345678, UPDATE
2023-03-10 10:09:26, PP12345678, UPDATE
2023-03-10 10:09:56, PP12345678, UPDATE
2023-03-10 10:10:20, PP12345678, UPDATE
2023-03-10 10:10:36, PP12345678, UPDATE
2023-03-10 10:12:59, PP12345678, UPDATE
2023-03-10 10:13:55, PP12345678, UPDATE
2023-03-10 10:14:08, PP98765432, UPDATE
2023-03-10 10:14:35, PP12345678, UPDATE
2023-03-10 10:22:35, PP12345678, UPDATE
2023-03-10 10:29:44, PP12345678, DELETE
2023-03-10 11:02:27, PP12345668, UPDATE
2023-03-10 11:03:24, PP12345668, UPDATE
2023-03-10 11:04:18, DP45678912, NEW_PRODUCT
